Adres girin : ['SRX', '/ilan/vasita-arazi-suv-pick-up-cadillac-cadillac-tramer-kaydi-olmayan%2C92000-mil-de-temiz%2Cmasrafsiz-519914248/detay', ' 128.500 TL', '15 Ocak', 'İzmirBornova', '2005', '92.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-aslan-motors-2011-cadillac-escalade-6.0-v8-hybrid-full-509037358/detay', '$ 97.000 ', '08 Ocak', 'İstanbulŞişli', '2011', '161.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-2008-escalade-517691057/detay', ' 185.000 TL', '07 Ocak', 'İstanbulSarıyer', '2008', '110.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-gmc-den-escalade-hatasiz-boyasiz-temiz-439124419/detay', '$ 102.500 ', '05 Ocak', 'İstanbulGaziosmanpaşa', '2008', '160.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-exotic-motors-2017-escalade-6.2-v8-head-up-8-ileri-yeni-sanz-479820591/detay', '€ 256.000 ', '08 Ocak', 'İstanbulBeşiktaş', '2017', '0', 'Siyah']
['SRX', '/ilan/vasita-arazi-suv-pick-up-cadillac-2011-model-cadillac-srx-2.8-turbo-v-6-75.000-km-448076400/detay', ' 415.000 TL', '10 Ocak', 'AnkaraÇankaya', '2011', '75.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-bu-km-kazasiz-hasarsiz-temizlikte-tek-escalade-453737960/detay', ' 309.000 TL', '04 Ocak', 'İstanbulBakırköy', '2009', '54.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-us-auto-2007-model-cadillac-escalade-asiri-temiz-516494110/detay', ' 219.500 TL', '03 Ocak', 'OrduFatsa', '2007', '154.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-2005-cadillac-escalade-orjinal-65.000-km-hatasiz-516127850/detay', ' 170.000 TL', '02 Ocak', 'İstanbulÜsküdar', '2005', '65.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-kopuz-dan-2015-escalade-6.2-platium-head-up-elk-basamak-3.sira-516047549/detay', ' 735.000 TL', '02 Ocak', 'İstanbulBahçelievler', '2015', '19.500', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-sahibinden-hatasiz-2015-headup-tam-full-515989375/detay', '€ 223.000 ', '02 Ocak', 'İstanbulAtaşehir', '2015', '1.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-brk-motors-dan-2008-model-sorunsuz-hatasiz-escalade-499159381/detay', ' 269.000 TL', '04 Ocak', 'İstanbulBeylikdüzü', '2008', '129.000', 'Beyaz']
['SRX', '/ilan/vasita-arazi-suv-pick-up-cadillac-garage-istanbul-siyah-cadillac-4.6-v8-srx-517035392/detay', ' 96.750 TL', '05 Ocak', 'İstanbulBeykoz', '2004', '150.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-rich-motors-dan-2007-model-cadillac-escalade-makam-araci-516093738/detay', ' 195.000 TL', '02 Ocak', 'İstanbulAtaşehir', '2007', '135.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-2017-escalade-6.2-v8-platinium-head-up-bose-sogutma-518859768/detay', '€ 256.000 ', '11 Ocak', 'AnkaraÇankaya', '2017', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-retro-motors-escalade-hybrid-isitma-sogutma-hafiza-boyasiz-508256340/detay', ' 355.000 TL', '03 Ocak', 'AnkaraAkyurt', '2011', '58.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-black-motors-2010-model-cadillac-escalade-6.0-v8-hybrid-493592662/detay', ' 254.000 TL', '10 Ocak', 'İstanbulBeşiktaş', '2011', '115.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-miller-premium-cars-cadillac-escalade-486515731/detay', '€ 247.500 ', '30 Aralık', 'ÇanakkaleMerkez', '2017', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-emn-otomotiv-den-2004-cadillac-escalade-6.0-v8-bose-multimedya-514548247/detay', ' 139.000 TL', '27 Aralık', 'MuğlaMilas', '2004', '147.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-dem-motors-farkiyla-2017-cadillac-escalade-long-platinium-487273805/detay', '€ 295.000 ', '03 Ocak', 'İstanbulBakırköy', '2017', '0', 'Siyah']
['SRX', '/ilan/vasita-arazi-suv-pick-up-cadillac-pnr-auto-2010-cadillac-srx-3.6-v6-elegance-tam-full-516111694/detay', '€ 59.000 ', '02 Ocak', 'İstanbulKadıköy', '2010', '82.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-stella-motors-2017-escalade-v8-platinum-head-up-8-ileri-509129835/detay', '€ 227.500 ', '07 Ocak', 'İstanbulKadıköy', '2017', '7.058', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-cadillac-escalade-6.0-v8-hybrid-7-kisilik-plus-isitma-plus-sogutma-500368809/detay', ' 309.000 TL', '08 Ocak', 'AnkaraAkyurt', '2010', '93.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-2015-cadillac-escalade-6.2-v8-platinum-sogutma_basamak-1.000-km-519115213/detay', '€ 233.000 ', '12 Ocak', 'İstanbulKadıköy', '2015', '1.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-stella-motors-2017-escalade-6.2-v8-head-up-8-ileri-yeni-sanz-469369836/detay', '€ 252.000 ', '07 Ocak', 'İstanbulKadıköy', '2017', '0', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-mm-motors-cadillac-escalade-6.0-v8-hybrid-otomatik-bayii-cikisli-510217294/detay', ' 360.000 TL', '10 Ocak', 'İstanbulGüngören', '2011', '42.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-lion-motors-2015-escalade-6.2-v8-platinum-sedefli-beyaz-tam-otv-518549386/detay', ' 789.000 TL', '10 Ocak', 'İstanbulKadıköy', '2015', '37.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-lion-motors-2012-escalade-hybrid-platinum-boyasiz-tam-otv-518544867/detay', ' 389.500 TL', '10 Ocak', 'İstanbulKadıköy', '2012', '64.000', 'Beyaz']
['SRX', '/ilan/vasita-arazi-suv-pick-up-cadillac-sahibinden-satilik-2005-model-cadillac-srx-513415920/detay', ' 78.000 TL', '23 Aralık', 'KayseriMelikgazi', '2005', '199.975', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-ata-car-2015-escalade-6.2-v8-ozel-ital-tam-otv-448187834/detay', '€ 225.000 ', '05 Ocak', 'İstanbulÜsküdar', '2015', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-orjinal-ve-2009-un-sonunda-trafige-cikisli-aile-arabasi-513230204/detay', ' 265.000 TL', '22 Aralık', 'İzmirBornova', '2009', '150.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-stella-motors-2017-escalade-v8-platinum-head-up-8-ileri-509129835/detay', '€ 227.500 ', '07 Ocak', 'İstanbulKadıköy', '2017', '7.058', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-erdem-den-2007-cadillac-escalade-v8-beyaz-bej-full-hatasiz-507867738/detay', ' 227.750 TL', '01 Ocak', 'AntalyaMuratpaşa', '2007', '126.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-zirhli-vip-escalade-v8-ozel-uretim-ertex-private-lounge-517356031/detay', '€ 549.000 ', '06 Ocak', 'İstanbulBeşiktaş', '2018', '1', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-cadillac-escalade-esv-6.2-v8-459001893/detay', ' 380.000 TL', '23 Aralık', 'AnkaraAltındağ', '2011', '110.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-s-class-2011-cadillac-escalade-6.0-v8-hybrid-platinium-463820486/detay', ' 335.000 TL', '07 Ocak', 'İstanbulKadıköy', '2011', '83.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-sahibinden-2011-escalade-platinum-6.2-v8-multimedia-291472772/detay', ' 305.000 TL', '18 Aralık', 'İstanbulKadıköy', '2011', '81.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-auto-sos-2016-escalade-platinium-edition-hatasiz-497926056/detay', '€ 193.000 ', '02 Ocak', 'İstanbulBeşiktaş', '2016', '23.400', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-ferro-motors-2015-cadillac-escalade-6.2-v8-platinum-497555334/detay', '€ 186.000 ', '02 Ocak', 'İstanbulBeşiktaş', '2015', '23.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-baysilan-dan-2016-cadillac-escalade-platinum-6.2v8-tam-dolu-0-km-356938242/detay', '€ 222.500 ', '22 Aralık', 'İstanbulEsenler', '2016', '0', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-grand-motors-2017-escalade-6.2-v8-head-up-8-ileri-yeni-sanziman-488552114/detay', '€ 269.000 ', '03 Ocak', 'İstanbulBahçelievler', '2017', '0', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-2017-cadillac-escalade-platinium-6.2-v8-serkanauto-428716815/detay', '€ 260.000 ', '28 Aralık', 'İstanbulBakırköy', '2017', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-ferro-motors-2017-cadillac-escalade-6.2-v8-platinium-long-head-u-497262406/detay', '€ 289.000 ', '02 Ocak', 'İstanbulBeşiktaş', '2017', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-gunes-auto-plus2002-pluscadillac-escalade-plus6.0-v6-plustakas-olur-514571259/detay', ' 85.500 TL', '27 Aralık', 'AdanaSeyhan', '2004', '135.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-s-class-2012-escalade-hybrid-7-kisilik-platinium-sedef-beyaz-516159195/detay', ' 365.000 TL', '02 Ocak', 'İstanbulKadıköy', '2012', '113.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-autobank-2017-cadillac-escalade-6%2C2-v8-platinium-long-head-up-495916442/detay', '€ 258.000 ', '02 Ocak', 'İstanbulBeşiktaş', '2017', '2.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-2004-cadillac-escalade-6.0-v8-otomatik-sorunsuz-masrafsiz-507178933/detay', ' 89.900 TL', '02 Ocak', 'AnkaraÇankaya', '2004', '142.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-royal-motors-2017-cadillac-escalade-6.2-v8-platinium-eu-versiyon-500645284/detay', '€ 298.500 ', '10 Ocak', 'İstanbulBeşiktaş', '2017', '0', 'Kahverengi']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-ertex-vip-armoured-cadillac-escalade-br7-470577049/detay', '€ 579.000 ', '01 Ocak', 'AnkaraYenimahalle', '2017', '1', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-royal-motors-cikisli-2007-cadillac-escalade-6.2-v8-474673540/detay', ' 166.500 TL', '08 Ocak', 'İstanbulBeşiktaş', '2007', '212.500', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-royal-motors-2017-cadillac-escalade-6.2-v8-luxury-platinum-long-486599853/detay', '€ 328.000 ', '08 Ocak', 'İstanbulBeşiktaş', '2017', '0', 'Gri']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-way-group-cadillac-escalade-platinum-b6-panzer-armored-zirhli-354461815/detay', '€ 465.000 ', '23 Aralık', 'İstanbulKadıköy', '2016', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-lion-motors-2009-escalade-cadillac-6.2-v8-elektrikli-basamak-509117567/detay', ' 247.500 TL', '06 Ocak', 'İstanbulKadıköy', '2009', '66.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-ercar-motors-2015-cadillac-escalade-headup-isitma-sogutma-bose-383365851/detay', '€ 219.000 ', '06 Ocak', 'İstanbulBeşiktaş', '2015', '8.530', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-prestij-plaza...2015-cadillac-escalade-6.2-v8-platinum-7-kisilik-458065111/detay', '€ 179.000 ', '05 Ocak', 'İstanbulAtaşehir', '2015', '11.000', 'Mor']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-frt-motors-2009-model-cadillac-escalade-beyaz-6.2-v8-kazasiz-202005217/detay', ' 265.000 TL', '20 Aralık', 'İstanbulEsenler', '2009', '90.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-frt-motors-2007-escalade-siyah-sogutma-elekt-basamak-kazasiz-210691069/detay', ' 205.000 TL', '20 Aralık', 'İstanbulEsenler', '2007', '185.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-c-f-auto-dan-2013-cadillac-escalade-hybrid-gumus-gri-464375184/detay', '$ 165.000 ', '20 Aralık', 'İstanbulBakırköy', '2013', '48.898', 'Gri']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-2017-cadillac-escalade-6.2-v8-platinium-long-version-tam-full-513900875/detay', '€ 275.000 ', '25 Aralık', 'İstanbulBakırköy', '2017', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-ferro-motors-2017-escalade-v8-platinum-head-up-8-ileri-486257443/detay', '€ 245.000 ', '02 Ocak', 'İstanbulBeşiktaş', '2017', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-autoken-2017-cadillac-escalade-6.2-v8-pilatinum-505081967/detay', '€ 229.000 ', '24 Aralık', 'İstanbulBakırköy', '2017', '0', 'Siyah']
['SRX', '/ilan/vasita-arazi-suv-pick-up-cadillac-emefe-motors-tan-2004-cadillac-srx-4.6-v8-luxury-otomatik-513106850/detay', ' 126.750 TL', '22 Aralık', 'İstanbulPendik', '2005', '206.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-metzel-den-2017-cadillac-escalade-platinum-6.2-v8-441618112/detay', '€ 260.000 ', '22 Aralık', 'İstanbulBakırköy', '2017', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-szg-motors-tan-cadillac-escalade-6.2-v8-servis-bakimli-497539673/detay', ' 375.000 TL', '01 Ocak', 'DenizliPamukkale', '2011', '73.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-ferro-motors-2014-escalade-cadillac-506570092/detay', '€ 166.000 ', '29 Aralık', 'İstanbulBeşiktaş', '2014', '27.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-mak-auto-2007-cadillac-escalade-siyah-90.000km-bayii-515065858/detay', ' 215.000 TL', '29 Aralık', 'İstanbulBakırköy', '2007', '92.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-ciftkurtlar-plaza-dan-2009-cadillac-escalade-6.2-v8-beyaz-483490238/detay', ' 320.000 TL', '20 Aralık', 'İstanbulSarıyer', '2009', '80.500', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-saylamlar-dan-2011-cadillac-escalade-6.0-v8-hybrid-platinium-464337057/detay', ' 358.500 TL', '18 Aralık', 'İstanbulAtaşehir', '2011', '80.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-samnu-dan-2017-cadillac-escalade-esv-platinium-long-514157757/detay', '€ 305.000 ', '26 Aralık', 'İstanbulKadıköy', '2017', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-autobank-2017-escalade-v8-platinum-head-up-8-ileri-nubuk-paket-486226043/detay', '€ 245.000 ', '27 Aralık', 'İstanbulBeşiktaş', '2017', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-universal-2004-cadillac-escalade-136.745-km-boyasiz-vergi-barisi-495966184/detay', ' 124.000 TL', '25 Aralık', 'İstanbulBeşiktaş', '2004', '137.315', 'Siyah']
['SRX', '/ilan/vasita-arazi-suv-pick-up-cadillac-nasyonel-2005-srx-3.6-v6-7-kisilik-bose-multimedya-410258924/detay', '$ 23.000 ', '12 Ocak', 'İstanbulBeşiktaş', '2005', '131.858', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-exotic-motors-2017-escalade-6.2-v8-head-up-8-ileri-yeni-sanz-464062393/detay', '€ 256.000 ', '22 Aralık', 'İstanbulBeşiktaş', '2017', '0', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-ers-motors-3d-bayii-cadillac-escalade-6.2-v8-platinium-emsalsiz-512777159/detay', ' 225.000 TL', '21 Aralık', 'İstanbulBahçelievler', '2007', '88.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-royal-motors-2017-cadillac-escalade-6.2-v8-platinum-paket-486610524/detay', '€ 297.000 ', '08 Ocak', 'İstanbulBeşiktaş', '2017', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-hancar-motors-cadillac-escalade-6%2C2-v8-platinium-long-head-up-502431787/detay', '€ 218.000 ', '16 Aralık', 'İstanbulBahçelievler', '2016', '18.677', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-xclusive-o-km-beyaz-escalade-platinyum-full-278628269/detay', '€ 242.000 ', '03 Ocak', 'İstanbulSarıyer', '2016', '0', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-ars-garaj-2017-cadillac-escalade-6.2-v8-platinium-long-hazir-407540369/detay', '€ 295.000 ', '03 Ocak', 'İstanbulBeşiktaş', '2017', '0', 'Füme']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-prestij-plaza...escalade-6.0-v8-hybrid-platinum-paket-55000km-505707660/detay', ' 399.000 TL', '25 Aralık', 'İstanbulAtaşehir', '2012', '55.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-baran-motors-2008-cadillac-escalade-platinium-boyasiz-70.000-km-513999831/detay', ' 235.000 TL', '25 Aralık', 'İstanbulKadıköy', '2008', '70.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-ars-garaj-dan-2017-escalade-6.2-v8-platinium-o-km-407550660/detay', '€ 288.500 ', '24 Aralık', 'İstanbulBeşiktaş', '2017', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-narin-den-2017-cadillac-escalade-6.2-v8-platinium-512911340/detay', '€ 298.500 ', '21 Aralık', 'İstanbulBeşiktaş', '2017', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-cabir-den-0-km-2017-escalade-platinium-6.2-v8-head-up-512801833/detay', '€ 238.000 ', '21 Aralık', 'İstanbulBağcılar', '2017', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-2017-cadillac-escalade-6.2-v8-platinum-m.media_basamak-0-km-514185710/detay', '€ 265.000 ', '26 Aralık', 'İstanbulKadıköy', '2017', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-2004-escalade-6.0v8-bose-multimedya-otv-baris-bedeli-odenmistir-428461780/detay', ' 165.000 TL', '28 Aralık', 'İstanbulBeşiktaş', '2004', '41.571', 'Gri']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-sahibinden-temiz-160.000-de-sedefli-beyaz-cadillac-hybrid-326279635/detay', '$ 93.000 ', '02 Ağustos', 'İstanbulArnavutköy', '2011', '160.000', 'Beyaz']
['SRX', '/ilan/vasita-arazi-suv-pick-up-cadillac-ss-motors-2005-cadillac-srx-3.6-v6-3.sira-multimedia-392104750/detay', '$ 26.000 ', '27 Aralık', 'İstanbulŞişli', '2005', '131.850', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-ss-motors-2015-cadillac-escalade-6.2-head-up-elk-basamak-3.sira-514595596/detay', '€ 225.000 ', '27 Aralık', 'İstanbulŞişli', '2015', '597', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-garage-2017-cadillac-escalade-6.2-v8-head-up-navigasyon-bose-514531025/detay', '€ 256.000 ', '27 Aralık', 'İstanbulBeykoz', '2017', '16', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-ss-motors-2016-cadillac-escalade-6.2-v8-platinum-head-up-masaj-493671527/detay', '€ 239.000 ', '18 Aralık', 'İstanbulŞişli', '2016', '11.636', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-metzel-den-2017-cadillac-escalade-platinum-6.2-v8-441618112/detay', '€ 260.000 ', '22 Aralık', 'İstanbulBakırköy', '2017', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-szg-motors-tan-cadillac-escalade-6.2-v8-servis-bakimli-497539673/detay', ' 375.000 TL', '01 Ocak', 'DenizliPamukkale', '2011', '73.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-ferro-motors-2014-escalade-cadillac-506570092/detay', '€ 166.000 ', '29 Aralık', 'İstanbulBeşiktaş', '2014', '27.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-mak-auto-2007-cadillac-escalade-siyah-90.000km-bayii-515065858/detay', ' 215.000 TL', '29 Aralık', 'İstanbulBakırköy', '2007', '92.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-ciftkurtlar-plaza-dan-2009-cadillac-escalade-6.2-v8-beyaz-483490238/detay', ' 320.000 TL', '20 Aralık', 'İstanbulSarıyer', '2009', '80.500', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-saylamlar-dan-2011-cadillac-escalade-6.0-v8-hybrid-platinium-464337057/detay', ' 358.500 TL', '18 Aralık', 'İstanbulAtaşehir', '2011', '80.000', 'Beyaz']
